,vendor_id,b_entity_id
79909,281546379,080QMZ-E
80123,304891205,0F8X42-E
80155,26643468,07TFTY-E
80205,151572856,0F2ZQ7-E
80255,304905952,0D81R5-E
80494,286402424,07SWH8-E
80724,26783649,0BRF89-E
80727,197560055,09LBBH-E
80842,269214237,07RLMX-E
81075,51221585,0BNGN6-E
81121,47212672,07Z34K-E
81122,58479742,09WSR8-E
81248,304160608,005M3X-E
81249,51529116,06L5Y6-E
81425,281353297,0F7XDG-E
81462,151605460,0F5W0V-E
81680,289088900,074JBH-E
81774,145027230,00B730-E
81775,145027230,00B730-E
82011,292921817,07WKDZ-E
82061,307263707,07VYMQ-E
82062,47206113,07V1MS-E
82281,289074948,00CV40-E
82326,289068035,0DXMX2-E
82494,319532715,05PDYD-E
82694,275087463,07XCRL-E
82924,50841670,064V3D-E
83037,289153216,0HD8P4-E
83185,288269623,0F8XLX-E
83191,21014984,0832SQ-E
83198,144087560,07CR7H-E
83427,305135458,05TD9F-E
83638,58586489,07XJZV-E
83844,27560603,0BBJK7-E
84040,46323515,083XDD-E
84194,280836742,07ZDJH-E
84452,61464405,0CWD7N-E
84668,286949043,07RLWC-E
84806,169359259,085H86-E
85063,289405547,05PGLV-E
85068,289123928,060HBP-E
85071,303054547,0DC2T3-E
85072,197573250,07CR7H-E
85122,174560492,09SR44-E
85123,269205210,093HBS-E
85283,290244707,0HPQLQ-E
85515,177216600,0BM8SG-E
85529,49497834,0GWGY3-E
85784,195854111,05LHJW-E
86054,49498654,0F4Q9T-E
86299,31600795,0HPRJY-E
86569,50369857,083QBY-E
86788,195803308,0C5WBQ-E
86789,196747583,0731G6-E
86790,24326411,07VH5F-E
86932,301429274,05PJFJ-E
87198,277432575,0DK03Z-E
87222,134395758,07V4R9-E
87223,194002669,07365M-E
87345,198421399,05PLJY-E
87586,286756997,05TD9F-E
87636,300280261,05LHXZ-E
87923,300464537,07YVKL-E
87924,58762308,07Y0XF-E
88150,196822530,089WS2-E
88161,47940038,07VSY2-E
88305,143729220,007LH4-E
88528,139499631,07TFTY-E
88578,304887132,0C36DC-E
88802,275407339,075XLG-E
89027,295165949,05TD95-E
89221,61134916,0GNS3M-E
89309,285638397,0HD638-E
89521,48781669,064WFN-E
89665,22749947,0F649V-E
89667,176024073,07VRSV-E
89669,147693676,07TYXB-E
89682,51389259,008ZJM-E
89732,198710999,0BQRNM-E
89986,323304168,0F63D9-E
90215,324021269,0BSM9V-E
90460,288363980,0BG3LW-E
90462,195427750,09Y68T-E
90463,49499267,0B4558-E
90469,292162327,072K0D-E
90479,173360669,07LB4T-E
90648,25763935,07RKT2-E
90871,145027156,001ZYJ-E
90875,58378430,0F2Y73-E
91122,320970670,07XXVD-E
91387,275292426,098JNV-E
91555,326796321,05ZLN1-E
91626,196543365,0G2QH3-E
91872,137889579,04J5R2-E
92139,146024237,0DLYX7-E
92157,146377059,05PGZJ-E
92392,273657287,00DDDW-E
92610,143363893,07XPJV-E
92612,312786064,05GGNP-E
92862,325166985,09TWYQ-E
92863,139814706,0F67N9-E
93077,143674490,00123G-E
93282,174502436,07RK7B-E
93283,195301075,09LPWK-E
93333,319141883,06MT8V-E
93383,287975801,08323B-E
93585,139096232,0DQ93X-E
93593,140687218,07R8MZ-E
93811,294638761,0GMGDY-E
94053,170213628,0F3KL9-E
94196,148579827,0DGB7Q-E
94200,195684347,006MKD-E
94452,58385031,0CXQV9-E
94453,169352966,0839ZQ-E
94469,151886405,0F37SD-E
94683,145452275,0DHFDY-E
94693,308769156,07VN0F-E
94787,47469937,07XHLX-E
94802,58381926,0F5LTY-E
94829,300257360,05PHBK-E
94842,146024657,086LTF-E
94892,289057460,07RNTL-E
94893,300300678,07LVPP-E
94943,173305606,0D9PYZ-E
94951,90840950,07ZKLJ-E
94952,195447926,09LLF1-E
94957,47948859,07R99K-E
94969,278424854,083S97-E
94970,300280559,073P1X-E
95007,156366023,07ZQ4F-E
95274,169356398,08838C-E
95473,174238576,07WMRT-E
95523,196221761,095J2M-E
95641,146500617,0GG62X-E
95759,47954543,07W5Z8-E
95761,59214159,0BSX8T-E
95763,51189347,083X92-E
95813,198444893,0BWM5V-E
96027,285762022,0BBTGN-E
96209,46037749,05GGNP-E
96448,278711575,064V92-E
96591,151973125,07XHV5-E
96738,26784017,05MX8M-E
96788,295522071,09SLCJ-E
96818,146496303,0C85NW-E
97028,298746961,05X1NS-E
97181,197301707,085VQQ-E
97195,139612026,002J7B-E
97246,47949899,09M8NK-E
97247,285516495,006L6Y-E
97492,293950106,07XFLT-E
97495,54700432,09SQDF-E
97721,289120164,000P49-E
97771,169047360,083NLM-E
97773,307373372,07W1HH-E
97823,288468975,06KCGB-E
98083,312514942,0BZLXK-E
98278,47883063,09397T-E
98496,54699977,09Z33J-E
98747,143766694,05PKT6-E
98954,136645380,07RKTX-E
98955,174424194,07PVDL-E
99077,307406839,0C85PZ-E
99078,270311494,0GSCC2-E
99084,327164162,0C6K0N-E
99305,56154774,0F648P-E
99345,325667173,07RM23-E
99348,304886664,085GHZ-E
99352,51267986,07V13N-E
99403,59542228,09GLPV-E
99649,145429493,08WB8K-E
99858,21983034,0CSTDP-E
100096,284985929,07T82F-E
100101,51569857,07XHV5-E
100124,134246398,0DB8MN-E
100142,46319784,07W8VM-E
100251,59049108,07VW3H-E
100301,47213134,06ZH7D-E
100521,195086069,07ZL8T-E
100732,195819519,07PW74-E
100856,324894245,063ZTT-E
101103,280941978,08GFK6-E
101107,49497497,05JMLQ-E
101413,145027194,09WG73-E
101653,47516260,083X92-E
101703,145050852,0HPQLQ-E
101821,46323496,05LHX2-E
102040,61153775,0DCRXG-E
102264,23144151,05TCZN-E
102314,294332990,07PBQ0-E
102315,58377257,00GDCJ-E
102316,138074367,05L3DR-E
102560,197548883,05PRR4-E
102777,305775317,07V02F-E
102827,327943672,07TYTG-E
103064,46137110,089LQV-E
103142,23592304,06P86F-E
103415,290112244,07FRNH-E
103681,140595946,0D0B3M-E
103686,155739608,07W986-E
103696,304480539,05Z4SZ-E
103939,301343085,089T5L-E
103940,315206501,0DDDRB-E
104157,323753122,087HGD-E
104320,290690227,07WB13-E
104527,133596852,008H3S-E
104551,50191413,080LWX-E
104555,27444471,089KJ1-E
104559,145407287,005801-E
104817,195891961,0F8X45-E
105065,46320528,089T5T-E
105304,151552437,0DYGLK-E
105452,289097409,07QF92-E
105502,139493291,0CHRJQ-E
105728,318250002,05NJGQ-E
105778,54690847,07ND8P-E
106045,28173331,002DFQ-E
106317,58338901,0603J4-E
106329,23599583,0DRH47-E
106442,151968786,07Y5CT-E
